sale_date,year,quarter,month,weekday_name,branch,city,product_line,customer_segment,payment_method,sales_count,total_quantity,revenue,gross_income,avg_check,avg_rating
2019-01-03,2019,1,1,Thursday ,A,Yangon,Health and beauty,Normal,Ewallet,2,14,585.1860,27.8660,292.5930000000000000,6.7000000000000000
2019-01-03,2019,1,1,Thursday ,A,Yangon,Home and lifestyle,Normal,Credit card,1,5,352.2225,16.7725,352.2225000000000000,9.1000000000000000
2019-01-03,2019,1,1,Thursday ,B,Mandalay,Health and beauty,Member,Credit card,1,8,520.8000,24.8000,520.8000000000000000,6.2000000000000000
2019-01-03,2019,1,1,Thursday ,B,Mandalay,Home and lifestyle,Normal,Ewallet,1,6,397.8450,18.9450,397.8450000000000000,9.8000000000000000
2019-01-03,2019,1,1,Thursday ,B,Mandalay,Sports and travel,Normal,Cash,1,1,98.0490,4.6690,98.0490000000000000,9.6000000000000000
2019-01-03,2019,1,1,Thursday ,C,Naypyitaw,Health and beauty,Member,Cash,1,2,44.3520,2.1120,44.3520000000000000,9.7000000000000000
2019-01-03,2019,1,1,Thursday ,C,Naypyitaw,Health and beauty,Member,Credit card,1,1,79.6740,3.7940,79.6740000000000000,7.1000000000000000
2019-01-04,2019,1,1,Friday   ,A,Yangon,Health and beauty,Member,Cash,1,5,110.0925,5.2425,110.0925000000000000,7.8000000000000000
2019-01-04,2019,1,1,Friday   ,A,Yangon,Home and lifestyle,Member,Ewallet,1,10,373.1700,17.7700,373.1700000000000000,7.0000000000000000
2019-01-04,2019,1,1,Friday   ,B,Mandalay,Electronic accessories,Member,Cash,1,1,75.7785,3.6085,75.7785000000000000,6.1000000000000000
2019-01-04,2019,1,1,Friday   ,B,Mandalay,Fashion accessories,Member,Cash,1,4,288.5820,13.7420,288.5820000000000000,4.1000000000000000
2019-01-04,2019,1,1,Friday   ,B,Mandalay,Sports and travel,Normal,Credit card,1,3,146.2230,6.9630,146.2230000000000000,4.4000000000000000
2019-01-04,2019,1,1,Friday   ,C,Naypyitaw,Electronic accessories,Member,Credit card,1,9,629.8425,29.9925,629.8425000000000000,9.7000000000000000
2019-01-05,2019,1,1,Saturday ,A,Yangon,Electronic accessories,Normal,Credit card,1,7,690.0180,32.8580,690.0180000000000000,7.3000000000000000
2019-01-05,2019,1,1,Saturday ,A,Yangon,Health and beauty,Member,Ewallet,1,7,548.9715,26.1415,548.9715000000000000,9.1000000000000000
2019-01-05,2019,1,1,Saturday ,A,Yangon,Home and lifestyle,Member,Cash,1,4,263.1300,12.5300,263.1300000000000000,4.2000000000000000
2019-01-05,2019,1,1,Saturday ,A,Yangon,Home and lifestyle,Member,Credit card,1,4,297.1080,14.1480,297.1080000000000000,4.4000000000000000
2019-01-05,2019,1,1,Saturday ,A,Yangon,Home and lifestyle,Normal,Ewallet,1,5,225.2775,10.7275,225.2775000000000000,6.1000000000000000
2019-01-05,2019,1,1,Saturday ,B,Mandalay,Fashion accessories,Member,Credit card,1,1,77.6580,3.6980,77.6580000000000000,5.0000000000000000
2019-01-05,2019,1,1,Saturday ,B,Mandalay,Food and beverages,Normal,Credit card,1,1,74.7600,3.5600,74.7600000000000000,9.2000000000000000
2019-01-05,2019,1,1,Saturday ,B,Mandalay,Home and lifestyle,Member,Credit card,1,9,334.3410,15.9210,334.3410000000000000,9.6000000000000000
2019-01-05,2019,1,1,Saturday ,C,Naypyitaw,Fashion accessories,Member,Ewallet,1,1,33.4950,1.5950,33.4950000000000000,9.1000000000000000
2019-01-05,2019,1,1,Saturday ,C,Naypyitaw,Fashion accessories,Normal,Credit card,2,9,412.0830,19.6230,206.0415000000000000,8.8500000000000000
2019-01-05,2019,1,1,Saturday ,C,Naypyitaw,Health and beauty,Normal,Ewallet,1,7,579.8415,27.6115,579.8415000000000000,7.5000000000000000
2019-01-06,2019,1,1,Sunday   ,A,Yangon,Fashion accessories,Normal,Cash,1,7,312.8895,14.8995,312.8895000000000000,6.8000000000000000
2019-01-06,2019,1,1,Sunday   ,A,Yangon,Food and beverages,Normal,Ewallet,1,5,214.9350,10.2350,214.9350000000000000,9.9000000000000000
2019-01-06,2019,1,1,Sunday   ,A,Yangon,Home and lifestyle,Member,Cash,1,8,494.7600,23.5600,494.7600000000000000,8.9000000000000000
2019-01-06,2019,1,1,Sunday   ,A,Yangon,Sports and travel,Normal,Cash,1,1,16.1070,0.7670,16.1070000000000000,6.5000000000000000
2019-01-06,2019,1,1,Sunday   ,A,Yangon,Sports and travel,Normal,Ewallet,1,4,271.2780,12.9180,271.2780000000000000,9.3000000000000000
2019-01-06,2019,1,1,Sunday   ,B,Mandalay,Health and beauty,Member,Cash,1,9,760.4415,36.2115,760.4415000000000000,9.2000000000000000
2019-01-06,2019,1,1,Sunday   ,B,Mandalay,Home and lifestyle,Normal,Ewallet,1,4,261.1980,12.4380,261.1980000000000000,4.3000000000000000
2019-01-06,2019,1,1,Sunday   ,C,Naypyitaw,Fashion accessories,Normal,Cash,1,4,343.0560,16.3360,343.0560000000000000,9.1000000000000000
2019-01-06,2019,1,1,Sunday   ,C,Naypyitaw,Food and beverages,Normal,Credit card,1,10,939.5400,44.7400,939.5400000000000000,9.6000000000000000
2019-01-07,2019,1,1,Monday   ,A,Yangon,Electronic accessories,Member,Credit card,1,4,326.4240,15.5440,326.4240000000000000,8.8000000000000000
2019-01-07,2019,1,1,Monday   ,A,Yangon,Home and lifestyle,Member,Credit card,1,9,203.5530,9.6930,203.5530000000000000,8.8000000000000000
2019-01-07,2019,1,1,Monday   ,A,Yangon,Sports and travel,Normal,Credit card,1,9,575.9775,27.4275,575.9775000000000000,6.0000000000000000
2019-01-07,2019,1,1,Monday   ,B,Mandalay,Fashion accessories,Member,Ewallet,1,6,614.9430,29.2830,614.9430000000000000,9.9000000000000000
2019-01-07,2019,1,1,Monday   ,B,Mandalay,Fashion accessories,Normal,Cash,1,7,352.5795,16.7895,352.5795000000000000,6.2000000000000000
2019-01-07,2019,1,1,Monday   ,B,Mandalay,Food and beverages,Member,Credit card,1,4,374.3880,17.8280,374.3880000000000000,7.8000000000000000
2019-01-07,2019,1,1,Monday   ,C,Naypyitaw,Food and beverages,Normal,Cash,1,3,85.7430,4.0830,85.7430000000000000,7.3000000000000000
2019-01-07,2019,1,1,Monday   ,C,Naypyitaw,Home and lifestyle,Member,Cash,1,10,229.1100,10.9100,229.1100000000000000,7.1000000000000000
2019-01-07,2019,1,1,Monday   ,C,Naypyitaw,Sports and travel,Member,Ewallet,1,1,71.5260,3.4060,71.5260000000000000,6.8000000000000000
2019-01-08,2019,1,1,Tuesday  ,A,Yangon,Electronic accessories,Member,Cash,1,3,250.7085,11.9385,250.7085000000000000,6.6000000000000000
2019-01-08,2019,1,1,Tuesday  ,A,Yangon,Electronic accessories,Normal,Cash,1,4,210.9660,10.0460,210.9660000000000000,9.0000000000000000
2019-01-08,2019,1,1,Tuesday  ,A,Yangon,Sports and travel,Member,Ewallet,1,2,26.7960,1.2760,26.7960000000000000,7.8000000000000000
2019-01-08,2019,1,1,Tuesday  ,A,Yangon,Sports and travel,Normal,Ewallet,1,5,194.9850,9.2850,194.9850000000000000,5.0000000000000000
2019-01-08,2019,1,1,Tuesday  ,B,Mandalay,Fashion accessories,Member,Credit card,1,10,684.9150,32.6150,684.9150000000000000,5.2000000000000000
2019-01-08,2019,1,1,Tuesday  ,B,Mandalay,Food and beverages,Member,Cash,1,10,783.3000,37.3000,783.3000000000000000,9.5000000000000000
2019-01-08,2019,1,1,Tuesday  ,B,Mandalay,Food and beverages,Member,Ewallet,1,10,348.7050,16.6050,348.7050000000000000,6.0000000000000000
2019-01-08,2019,1,1,Tuesday  ,B,Mandalay,Home and lifestyle,Member,Credit card,1,2,103.1100,4.9100,103.1100000000000000,6.4000000000000000
2019-01-08,2019,1,1,Tuesday  ,B,Mandalay,Sports and travel,Member,Cash,1,3,152.7750,7.2750,152.7750000000000000,6.7000000000000000
2019-01-08,2019,1,1,Tuesday  ,B,Mandalay,Sports and travel,Member,Credit card,1,2,136.1430,6.4830,136.1430000000000000,8.0000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Fashion accessories,Member,Cash,1,7,381.3915,18.1615,381.3915000000000000,4.5000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Fashion accessories,Normal,Credit card,1,9,299.8485,14.2785,299.8485000000000000,5.9000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Fashion accessories,Normal,Ewallet,1,1,13.4190,0.6390,13.4190000000000000,9.5000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Food and beverages,Member,Cash,1,9,688.7160,32.7960,688.7160000000000000,4.0000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Food and beverages,Member,Credit card,1,3,76.5765,3.6465,76.5765000000000000,4.3000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Food and beverages,Member,Ewallet,1,8,575.7360,27.4160,575.7360000000000000,8.5000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Home and lifestyle,Member,Credit card,1,3,175.0455,8.3355,175.0455000000000000,5.9000000000000000
2019-01-08,2019,1,1,Tuesday  ,C,Naypyitaw,Home and lifestyle,Normal,Credit card,1,4,190.5960,9.0760,190.5960000000000000,8.7000000000000000
2019-01-09,2019,1,1,Wednesday,A,Yangon,Fashion accessories,Member,Ewallet,1,5,202.3350,9.6350,202.3350000000000000,5.6000000000000000
2019-01-09,2019,1,1,Wednesday,B,Mandalay,Home and lifestyle,Member,Ewallet,1,3,68.9850,3.2850,68.9850000000000000,4.7000000000000000
2019-01-09,2019,1,1,Wednesday,B,Mandalay,Sports and travel,Member,Cash,1,8,99.5400,4.7400,99.5400000000000000,4.1000000000000000
2019-01-09,2019,1,1,Wednesday,C,Naypyitaw,Electronic accessories,Normal,Cash,1,7,708.3195,33.7295,708.3195000000000000,6.0000000000000000
2019-01-09,2019,1,1,Wednesday,C,Naypyitaw,Fashion accessories,Member,Credit card,1,9,463.4280,22.0680,463.4280000000000000,8.6000000000000000
2019-01-09,2019,1,1,Wednesday,C,Naypyitaw,Fashion accessories,Normal,Ewallet,1,6,310.7160,14.7960,310.7160000000000000,7.1000000000000000
2019-01-09,2019,1,1,Wednesday,C,Naypyitaw,Home and lifestyle,Normal,Cash,1,10,165.9000,7.9000,165.9000000000000000,7.8000000000000000
2019-01-09,2019,1,1,Wednesday,C,Naypyitaw,Sports and travel,Normal,Cash,1,10,1002.1200,47.7200,1002.1200000000000000,5.2000000000000000
2019-01-10,2019,1,1,Thursday ,A,Yangon,Health and beauty,Member,Credit card,1,2,76.1460,3.6260,76.1460000000000000,7.2000000000000000
2019-01-10,2019,1,1,Thursday ,A,Yangon,Home and lifestyle,Member,Ewallet,1,6,493.7940,23.5140,493.7940000000000000,5.8000000000000000
2019-01-10,2019,1,1,Thursday ,A,Yangon,Sports and travel,Member,Ewallet,1,7,161.5530,7.6930,161.5530000000000000,5.1000000000000000
2019-01-10,2019,1,1,Thursday ,B,Mandalay,Electronic accessories,Normal,Ewallet,1,4,57.8760,2.7560,57.8760000000000000,9.0000000000000000
2019-01-10,2019,1,1,Thursday ,B,Mandalay,Fashion accessories,Normal,Credit card,1,7,586.9710,27.9510,586.9710000000000000,5.5000000000000000
2019-01-10,2019,1,1,Thursday ,B,Mandalay,Sports and travel,Normal,Cash,1,8,703.7520,33.5120,703.7520000000000000,5.1000000000000000
2019-01-10,2019,1,1,Thursday ,C,Naypyitaw,Electronic accessories,Member,Cash,1,5,392.6475,18.6975,392.6475000000000000,4.9000000000000000
2019-01-10,2019,1,1,Thursday ,C,Naypyitaw,Food and beverages,Member,Cash,1,9,477.1305,22.7205,477.1305000000000000,5.4000000000000000
2019-01-10,2019,1,1,Thursday ,C,Naypyitaw,Sports and travel,Normal,Credit card,1,7,611.0790,29.0990,611.0790000000000000,6.6000000000000000
2019-01-11,2019,1,1,Friday   ,A,Yangon,Fashion accessories,Normal,Ewallet,1,1,94.1745,4.4845,94.1745000000000000,4.9000000000000000
2019-01-11,2019,1,1,Friday   ,A,Yangon,Food and beverages,Member,Ewallet,1,6,305.5500,14.5500,305.5500000000000000,9.4000000000000000
2019-01-11,2019,1,1,Friday   ,A,Yangon,Food and beverages,Normal,Credit card,2,14,308.0805,14.6705,154.0402500000000000,6.7000000000000000
2019-01-11,2019,1,1,Friday   ,A,Yangon,Home and lifestyle,Normal,Cash,1,6,608.0760,28.9560,608.0760000000000000,4.5000000000000000
2019-01-11,2019,1,1,Friday   ,A,Yangon,Sports and travel,Member,Credit card,1,4,345.7860,16.4660,345.7860000000000000,7.5000000000000000
2019-01-11,2019,1,1,Friday   ,C,Naypyitaw,Food and beverages,Member,Cash,1,7,270.2595,12.8695,270.2595000000000000,7.4000000000000000
2019-01-11,2019,1,1,Friday   ,C,Naypyitaw,Sports and travel,Member,Credit card,1,2,183.0360,8.7160,183.0360000000000000,9.7000000000000000
2019-01-12,2019,1,1,Saturday ,A,Yangon,Electronic accessories,Member,Ewallet,1,10,931.0350,44.3350,931.0350000000000000,7.3000000000000000
2019-01-12,2019,1,1,Saturday ,A,Yangon,Fashion accessories,Member,Credit card,1,9,189.0945,9.0045,189.0945000000000000,5.7000000000000000
2019-01-12,2019,1,1,Saturday ,A,Yangon,Fashion accessories,Normal,Ewallet,1,10,308.9100,14.7100,308.9100000000000000,8.9000000000000000
2019-01-12,2019,1,1,Saturday ,B,Mandalay,Electronic accessories,Member,Ewallet,1,8,769.1040,36.6240,769.1040000000000000,6.0000000000000000
2019-01-12,2019,1,1,Saturday ,B,Mandalay,Fashion accessories,Normal,Credit card,1,10,874.1250,41.6250,874.1250000000000000,4.4000000000000000
2019-01-12,2019,1,1,Saturday ,B,Mandalay,Health and beauty,Member,Credit card,1,1,28.4235,1.3535,28.4235000000000000,5.3000000000000000
2019-01-12,2019,1,1,Saturday ,B,Mandalay,Health and beauty,Normal,Ewallet,1,2,120.1620,5.7220,120.1620000000000000,8.3000000000000000
2019-01-12,2019,1,1,Saturday ,B,Mandalay,Home and lifestyle,Normal,Cash,1,7,375.3645,17.8745,375.3645000000000000,7.0000000000000000
2019-01-12,2019,1,1,Saturday ,B,Mandalay,Sports and travel,Normal,Ewallet,1,6,144.9630,6.9030,144.9630000000000000,7.9000000000000000
2019-01-12,2019,1,1,Saturday ,C,Naypyitaw,Home and lifestyle,Normal,Ewallet,1,10,1023.7500,48.7500,1023.7500000000000000,8.0000000000000000
2019-01-12,2019,1,1,Saturday ,C,Naypyitaw,Sports and travel,Member,Credit card,1,7,419.8320,19.9920,419.8320000000000000,6.5000000000000000
2019-01-13,2019,1,1,Sunday   ,A,Yangon,Electronic accessories,Normal,Ewallet,1,6,147.7980,7.0380,147.7980000000000000,6.4000000000000000
2019-01-13,2019,1,1,Sunday   ,A,Yangon,Health and beauty,Member,Credit card,1,9,374.4090,17.8290,374.4090000000000000,6.8000000000000000
2019-01-13,2019,1,1,Sunday   ,A,Yangon,Home and lifestyle,Member,Credit card,1,3,255.1815,12.1515,255.1815000000000000,9.3000000000000000
2019-01-13,2019,1,1,Sunday   ,A,Yangon,Sports and travel,Normal,Cash,1,7,335.0130,15.9530,335.0130000000000000,5.0000000000000000
2019-01-13,2019,1,1,Sunday   ,B,Mandalay,Fashion accessories,Member,Ewallet,1,2,125.7060,5.9860,125.7060000000000000,6.7000000000000000
2019-01-13,2019,1,1,Sunday   ,B,Mandalay,Food and beverages,Normal,Credit card,1,2,152.0190,7.2390,152.0190000000000000,8.1000000000000000
2019-01-13,2019,1,1,Sunday   ,B,Mandalay,Sports and travel,Member,Cash,1,6,457.3800,21.7800,457.3800000000000000,6.9000000000000000
2019-01-13,2019,1,1,Sunday   ,C,Naypyitaw,Electronic accessories,Normal,Credit card,1,10,437.3250,20.8250,437.3250000000000000,5.4000000000000000
2019-01-13,2019,1,1,Sunday   ,C,Naypyitaw,Fashion accessories,Member,Cash,1,1,78.0045,3.7145,78.0045000000000000,5.0000000000000000
2019-01-13,2019,1,1,Sunday   ,C,Naypyitaw,Food and beverages,Member,Cash,1,4,88.3680,4.2080,88.3680000000000000,7.6000000000000000
2019-01-14,2019,1,1,Monday   ,A,Yangon,Fashion accessories,Member,Ewallet,2,15,1096.0950,52.1950,548.0475000000000000,5.7000000000000000
2019-01-14,2019,1,1,Monday   ,B,Mandalay,Fashion accessories,Member,Credit card,1,4,75.9360,3.6160,75.9360000000000000,9.5000000000000000
2019-01-14,2019,1,1,Monday   ,B,Mandalay,Food and beverages,Normal,Cash,1,5,523.3725,24.9225,523.3725000000000000,9.9000000000000000
2019-01-14,2019,1,1,Monday   ,B,Mandalay,Food and beverages,Normal,Credit card,1,7,536.9910,25.5710,536.9910000000000000,4.2000000000000000
2019-01-14,2019,1,1,Monday   ,B,Mandalay,Health and beauty,Normal,Cash,1,1,18.6375,0.8875,18.6375000000000000,8.6000000000000000
2019-01-14,2019,1,1,Monday   ,B,Mandalay,Sports and travel,Normal,Credit card,1,1,36.5505,1.7405,36.5505000000000000,7.0000000000000000
2019-01-14,2019,1,1,Monday   ,C,Naypyitaw,Electronic accessories,Member,Credit card,1,9,423.7380,20.1780,423.7380000000000000,7.5000000000000000
2019-01-14,2019,1,1,Monday   ,C,Naypyitaw,Electronic accessories,Normal,Cash,1,7,451.3635,21.4935,451.3635000000000000,9.8000000000000000
2019-01-14,2019,1,1,Monday   ,C,Naypyitaw,Food and beverages,Normal,Ewallet,2,5,222.5055,10.5955,111.2527500000000000,7.5000000000000000
2019-01-14,2019,1,1,Monday   ,C,Naypyitaw,Health and beauty,Member,Credit card,1,3,190.4805,9.0705,190.4805000000000000,5.6000000000000000
2019-01-14,2019,1,1,Monday   ,C,Naypyitaw,Health and beauty,Normal,Ewallet,1,7,390.9465,18.6165,390.9465000000000000,5.0000000000000000
2019-01-15,2019,1,1,Tuesday  ,A,Yangon,Electronic accessories,Normal,Ewallet,1,9,575.3160,27.3960,575.3160000000000000,4.7000000000000000
2019-01-15,2019,1,1,Tuesday  ,A,Yangon,Food and beverages,Member,Credit card,1,2,175.9170,8.3770,175.9170000000000000,7.0000000000000000
2019-01-15,2019,1,1,Tuesday  ,A,Yangon,Home and lifestyle,Member,Credit card,1,9,843.0345,40.1445,843.0345000000000000,6.5000000000000000
2019-01-15,2019,1,1,Tuesday  ,A,Yangon,Home and lifestyle,Normal,Cash,1,6,72.0090,3.4290,72.0090000000000000,7.7000000000000000
2019-01-15,2019,1,1,Tuesday  ,A,Yangon,Sports and travel,Normal,Cash,1,7,140.3850,6.6850,140.3850000000000000,9.7000000000000000
2019-01-15,2019,1,1,Tuesday  ,B,Mandalay,Electronic accessories,Normal,Ewallet,1,5,397.2150,18.9150,397.2150000000000000,7.8000000000000000
2019-01-15,2019,1,1,Tuesday  ,B,Mandalay,Fashion accessories,Normal,Ewallet,1,2,154.3920,7.3520,154.3920000000000000,4.6000000000000000
2019-01-15,2019,1,1,Tuesday  ,B,Mandalay,Health and beauty,Member,Credit card,1,10,697.9350,33.2350,697.9350000000000000,5.0000000000000000
2019-01-15,2019,1,1,Tuesday  ,B,Mandalay,Home and lifestyle,Normal,Credit card,1,10,1022.3850,48.6850,1022.3850000000000000,4.9000000000000000
2019-01-15,2019,1,1,Tuesday  ,B,Mandalay,Sports and travel,Member,Cash,1,6,590.4360,28.1160,590.4360000000000000,4.5000000000000000
2019-01-15,2019,1,1,Tuesday  ,C,Naypyitaw,Electronic accessories,Normal,Cash,1,10,586.6350,27.9350,586.6350000000000000,5.8000000000000000
2019-01-15,2019,1,1,Tuesday  ,C,Naypyitaw,Food and beverages,Member,Cash,1,5,91.5600,4.3600,91.5600000000000000,8.1000000000000000
2019-01-15,2019,1,1,Tuesday  ,C,Naypyitaw,Health and beauty,Member,Cash,1,7,597.0405,28.4305,597.0405000000000000,9.0000000000000000
2019-01-16,2019,1,1,Wednesday,A,Yangon,Home and lifestyle,Member,Cash,1,10,667.3800,31.7800,667.3800000000000000,4.3000000000000000
2019-01-16,2019,1,1,Wednesday,A,Yangon,Sports and travel,Normal,Credit card,1,2,195.6780,9.3180,195.6780000000000000,8.5000000000000000
2019-01-16,2019,1,1,Wednesday,B,Mandalay,Fashion accessories,Member,Ewallet,1,1,53.9280,2.5680,53.9280000000000000,5.2000000000000000
2019-01-16,2019,1,1,Wednesday,B,Mandalay,Fashion accessories,Normal,Credit card,1,4,164.6820,7.8420,164.6820000000000000,9.0000000000000000
2019-01-16,2019,1,1,Wednesday,B,Mandalay,Sports and travel,Member,Credit card,1,7,666.9390,31.7590,666.9390000000000000,6.2000000000000000
2019-01-16,2019,1,1,Wednesday,C,Naypyitaw,Food and beverages,Normal,Cash,2,18,1378.3770,65.6370,689.1885000000000000,8.2000000000000000
2019-01-16,2019,1,1,Wednesday,C,Naypyitaw,Home and lifestyle,Normal,Cash,1,10,1003.5900,47.7900,1003.5900000000000000,4.8000000000000000
2019-01-16,2019,1,1,Wednesday,C,Naypyitaw,Sports and travel,Member,Cash,1,2,32.5290,1.5490,32.5290000000000000,6.3000000000000000
2019-01-16,2019,1,1,Wednesday,C,Naypyitaw,Sports and travel,Member,Credit card,1,7,125.9790,5.9990,125.9790000000000000,7.9000000000000000
2019-01-17,2019,1,1,Thursday ,A,Yangon,Food and beverages,Normal,Credit card,1,10,852.7050,40.6050,852.7050000000000000,6.3000000000000000
2019-01-17,2019,1,1,Thursday ,A,Yangon,Home and lifestyle,Normal,Credit card,1,6,135.5760,6.4560,135.5760000000000000,9.4000000000000000
2019-01-17,2019,1,1,Thursday ,A,Yangon,Sports and travel,Normal,Ewallet,2,10,513.9435,24.4735,256.9717500000000000,7.9000000000000000
2019-01-17,2019,1,1,Thursday ,B,Mandalay,Food and beverages,Member,Ewallet,1,2,121.5690,5.7890,121.5690000000000000,8.9000000000000000
2019-01-17,2019,1,1,Thursday ,B,Mandalay,Home and lifestyle,Member,Credit card,1,7,695.2365,33.1065,695.2365000000000000,4.9000000000000000
2019-01-17,2019,1,1,Thursday ,B,Mandalay,Home and lifestyle,Member,Ewallet,1,1,91.0560,4.3360,91.0560000000000000,7.9000000000000000
2019-01-17,2019,1,1,Thursday ,B,Mandalay,Sports and travel,Normal,Credit card,1,2,85.3020,4.0620,85.3020000000000000,4.1000000000000000
2019-01-17,2019,1,1,Thursday ,C,Naypyitaw,Food and beverages,Member,Cash,1,2,137.8650,6.5650,137.8650000000000000,6.0000000000000000
2019-01-17,2019,1,1,Thursday ,C,Naypyitaw,Health and beauty,Member,Ewallet,1,2,131.9220,6.2820,131.9220000000000000,4.9000000000000000
2019-01-17,2019,1,1,Thursday ,C,Naypyitaw,Sports and travel,Member,Credit card,1,5,377.5800,17.9800,377.5800000000000000,4.3000000000000000
2019-01-18,2019,1,1,Friday   ,A,Yangon,Electronic accessories,Normal,Credit card,1,5,138.1275,6.5775,138.1275000000000000,8.8000000000000000
2019-01-18,2019,1,1,Friday   ,A,Yangon,Fashion accessories,Member,Ewallet,1,3,277.6725,13.2225,277.6725000000000000,7.9000000000000000
2019-01-18,2019,1,1,Friday   ,A,Yangon,Home and lifestyle,Member,Ewallet,1,9,182.9520,8.7120,182.9520000000000000,8.7000000000000000
2019-01-18,2019,1,1,Friday   ,A,Yangon,Sports and travel,Member,Cash,1,6,561.0780,26.7180,561.0780000000000000,9.9000000000000000
2019-01-18,2019,1,1,Friday   ,B,Mandalay,Fashion accessories,Member,Credit card,1,6,110.1240,5.2440,110.1240000000000000,6.1000000000000000
2019-01-18,2019,1,1,Friday   ,B,Mandalay,Food and beverages,Normal,Ewallet,1,8,166.2360,7.9160,166.2360000000000000,8.7000000000000000
2019-01-18,2019,1,1,Friday   ,C,Naypyitaw,Fashion accessories,Normal,Ewallet,1,7,446.4390,21.2590,446.4390000000000000,5.0000000000000000
2019-01-18,2019,1,1,Friday   ,C,Naypyitaw,Health and beauty,Normal,Cash,1,1,41.3910,1.9710,41.3910000000000000,8.4000000000000000
2019-01-18,2019,1,1,Friday   ,C,Naypyitaw,Sports and travel,Member,Cash,1,9,856.4535,40.7835,856.4535000000000000,5.1000000000000000
2019-01-19,2019,1,1,Saturday ,A,Yangon,Electronic accessories,Member,Credit card,1,3,37.6110,1.7910,37.6110000000000000,8.1000000000000000
2019-01-19,2019,1,1,Saturday ,A,Yangon,Fashion accessories,Normal,Cash,1,6,624.3300,29.7300,624.3300000000000000,4.2000000000000000
